"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc4488","frc2926","frc3711","70","15","27","None","Level","18","38","Docked","Level","3"
"2","10","blue","frc2915","frc2926","frc4513","50","10","10","None","Level","15","35","None","Level","0"
"3","13","red","frc2926","frc2521","frc5920","87","12","30","None","Level","17","47","Docked","Level","3"
"4","20","blue","frc6443","frc4104","frc2926","76","12","27","None","Level","17","39","Docked","Level","3"
"5","26","blue","frc847","frc2926","frc7034","51","6","9","None","NotLevel","12","42","Docked","Level","3"
"6","30","red","frc1432","frc2926","frc955","99","18","33","None","Level","36","46","Docked","NotLevel","2"
"7","39","red","frc2926","frc6845","frc360","60","15","15","None","NotLevel","22","30","Docked","NotLevel","0"
"8","43","red","frc2926","frc2811","frc4662","82","10","25","None","Level","20","42","Docked","Level","1"
"9","47","red","frc2550","frc5295","frc2926","59","6","6","None","NotLevel","29","43","Docked","NotLevel","2"
"10","54","red","frc1359","frc4127","frc2926","45","6","6","None","Level","17","39","None","Level","0"
"11","59","blue","frc2926","frc4060","frc1595","54","3","3","None","Level","11","41","Docked","Level","3"
"12","65","red","frc6696","frc997","frc2926","63","9","21","None","Level","10","32","Docked","Level","3"
