"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc2811","frc6465","frc2990","108","19","25","None","NotLevel","46","58","Docked","NotLevel","3"
"2","7","blue","frc6465","frc7034","frc2733","71","16","16","None","NotLevel","32","40","None","NotLevel","0"
"3","14","red","frc2471","frc6465","frc1432","72","12","18","None","NotLevel","14","34","Docked","Level","2"
"4","18","blue","frc6465","frc2898","frc6343","65","6","9","None","Level","16","46","Docked","Level","1"
"5","24","red","frc5975","frc753","frc6465","64","9","12","None","Level","20","42","Park","Level","0"
"6","29","blue","frc2521","frc2550","frc6465","100","10","21","None","NotLevel","39","59","Park","Level","2"
"7","34","blue","frc997","frc6465","frc3024","83","9","27","None","Level","19","41","Park","Level","1"
"8","40","blue","frc2635","frc2374","frc6465","92","6","12","None","NotLevel","48","70","Docked","Level","0"
"9","45","red","frc6465","frc4089","frc1425","90","12","30","None","Level","30","50","Docked","Level","3"
"10","48","blue","frc5468","frc957","frc6465","79","10","28","None","Level","14","36","None","Level","1"
"11","54","red","frc6343","frc6465","frc4692","72","3","21","None","Level","19","41","Docked","Level","1"
"12","62","blue","frc6465","frc2635","frc4043","88","9","27","None","Level","24","46","Docked","Level","3"
