"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc2046","frc3636","frc6343","107","12","21","None","Level","49","61","Docked","NotLevel","3"
"2","7","blue","frc1425","frc6343","frc6696","67","6","21","None","Level","19","41","Docked","Level","1"
"3","10","red","frc6465","frc4127","frc6343","82","6","24","None","Level","18","48","Docked","Level","3"
"4","15","red","frc6343","frc5970","frc2990","100","9","27","Docked","Level","28","58","Docked","Level","3"
"5","20","red","frc2915","frc6343","frc5970","80","3","21","Docked","Level","7","37","None","Level","3"
"6","24","blue","frc6343","frc4450","frc753","66","6","9","None","Level","24","32","Docked","NotLevel","2"
"7","29","blue","frc6343","frc6845","frc3673","56","0","12","Docked","Level","14","34","Docked","Level","3"
"8","34","blue","frc6343","frc2898","frc568","71","0","12","Docked","Level","12","34","Park","Level","3"
"9","38","blue","frc4662","frc6343","frc4125","48","0","6","None","NotLevel","12","32","Docked","Level","0"
"10","46","red","frc4127","frc4125","frc6343","57","0","18","Docked","Level","19","39","Docked","Level","1"
"11","50","red","frc2471","frc957","frc6343","103","12","30","None","Level","34","48","Docked","NotLevel","2"
"12","53","red","frc4488","frc6343","frc4043","58","3","18","None","Level","21","35","Docked","Level","0"
