"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc5457","frc9014","frc6921","57","4","13","None","Level","12","34","Docked","Level","0"
"2","6","blue","frc8721","frc5666","frc5457","44","0","3","None","Level","11","41","Docked","Level","1"
"3","12","blue","frc5457","frc8630","frc9100","74","3","24","None","Level","8","30","Docked","Level","1"
"4","16","blue","frc1391","frc2016","frc5457","88","12","15","None","NotLevel","36","58","Docked","Level","2"
"5","21","red","frc5457","frc486","frc4575","48","3","9","None","Level","9","39","Docked","Level","1"
"6","25","red","frc4373","frc5457","frc5401","101","18","36","None","Level","28","50","Docked","Level","3"
"7","33","red","frc316","frc5457","frc8771","68","6","21","None","Level","22","42","Park","Level","1"
"8","38","red","frc4285","frc5457","frc5310","72","7","13","None","Level","22","44","Park","Level","0"
"9","41","blue","frc484","frc5457","frc7414","75","3","6","None","Level","19","49","Docked","Level","1"
"10","44","red","frc272","frc2607","frc5457","107","12","30","None","Level","44","52","Docked","NotLevel","3"
"11","50","blue","frc5457","frc8721","frc4373","69","6","21","None","Level","31","33","Docked","NotLevel","0"
"12","55","blue","frc8771","frc5490","frc5457","32","3","6","None","Level","8","16","Docked","NotLevel","0"
