"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc3181","frc3954","frc4050","57","7","13","None","Level","19","39","Docked","Level","0"
"2","12","red","frc2053","frc3504","frc4050","80","14","32","None","Level","30","38","Docked","NotLevel","0"
"3","18","blue","frc4050","frc3484","frc3260","48","4","10","None","NotLevel","16","28","Docked","NotLevel","0"
"4","25","red","frc8861","frc4050","frc2638","97","10","31","None","Level","31","51","Docked","Level","1"
"5","37","blue","frc1559","frc930","frc4050","143","17","28","None","NotLevel","58","80","Docked","Level","4"
"6","48","blue","frc4050","frc7570","frc4150","74","10","16","None","NotLevel","31","53","Park","Level","0"
"7","54","red","frc4050","frc117","frc379","103","16","34","None","Level","32","44","Park","NotLevel","3"
"8","61","red","frc2172","frc4991","frc4050","113","16","34","None","Level","37","59","Docked","Level","4"
"9","66","blue","frc8145","frc4050","frc1708","50","7","10","None","Level","20","30","Docked","NotLevel","0"
"10","73","red","frc8222","frc4050","frc2051","99","16","34","None","Level","28","50","Docked","Level","1"
