"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc6808","frc708","frc2180","40","6","9","None","NotLevel","17","31","None","NotLevel","0"
"2","10","red","frc2607","frc6808","frc3637","84","6","21","None","Level","41","53","None","Level","0"
"3","15","red","frc6808","frc1391","frc7414","65","3","24","None","Level","19","41","Park","Level","1"
"4","18","red","frc6808","frc5895","frc5181","91","12","27","None","Level","37","49","Park","Level","2"
"5","27","blue","frc7110","frc6808","frc341","86","6","12","None","NotLevel","34","54","Park","Level","0"
"6","33","red","frc272","frc1218","frc6808","84","9","30","None","Level","32","54","Park","Level","3"
"7","36","red","frc816","frc2559","frc6808","47","0","6","None","Level","19","41","Docked","Level","0"
"8","43","blue","frc5113","frc5490","frc6808","33","3","6","None","Level","15","27","Docked","Level","0"
"9","48","blue","frc6808","frc423","frc6226","72","4","10","None","Level","23","37","None","NotLevel","2"
"10","52","blue","frc433","frc103","frc6808","93","3","21","None","Level","30","52","None","Level","3"
"11","62","blue","frc1640","frc6808","frc25","123","18","33","None","Level","43","65","Park","Level","4"
"12","67","blue","frc2095","frc6808","frc5407","47","6","12","None","Level","13","25","Park","Level","0"
