"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","blue","frc6808","frc4373","frc708","92","18","36","Docked","Level","26","46","Docked","Level","1"
"2","9","red","frc4373","frc103","frc1218","143","18","39","None","Level","52","74","Docked","Level","4"
"3","12","blue","frc8771","frc4575","frc4373","63","6","24","Docked","Level","12","34","Docked","Level","3"
"4","20","blue","frc4373","frc321","frc834","100","28","46","None","Level","24","44","Docked","Level","3"
"5","24","red","frc4373","frc2722","frc1168","97","13","31","None","Level","29","51","Docked","Level","3"
"6","27","blue","frc9014","frc4373","frc341","120","18","39","None","Level","39","61","Park","Level","4"
"7","32","red","frc5407","frc2095","frc4373","77","6","24","Docked","Level","26","48","Docked","Level","1"
"8","40","blue","frc9094","frc4373","frc486","79","6","24","Docked","Level","23","45","Docked","Level","3"
"9","43","red","frc433","frc4342","frc4373","102","15","33","None","Level","37","59","Docked","Level","3"
"10","49","red","frc9027","frc102","frc4373","95","18","32","None","NotLevel","26","48","Docked","Level","1"
"11","57","red","frc4373","frc203","frc2720","89","16","34","None","Level","15","45","Docked","Level","1"
"12","61","blue","frc423","frc4373","frc341","162","18","36","None","Level","45","67","Docked","Level","4"
