"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc4682","frc492","frc1318","128","18","39","None","Level","57","69","Docked","NotLevel","3"
"2","12","blue","frc4061","frc1318","frc4915","167","16","34","None","Level","63","93","Docked","Level","4"
"3","19","red","frc1318","frc1425","frc2412","151","21","42","None","Level","57","79","Park","Level","4"
"4","33","blue","frc6831","frc1318","frc4918","151","20","41","None","Level","58","80","Docked","Level","2"
"5","40","blue","frc2930","frc1294","frc1318","143","21","36","Docked","Level","57","77","Park","Level","4"
"6","47","red","frc1318","frc488","frc7461","151","24","42","Docked","Level","52","74","Docked","Level","4"
"7","52","red","frc2521","frc1318","frc3663","172","24","45","None","Level","65","87","Park","Level","4"
"8","67","blue","frc1318","frc2147","frc5468","152","24","42","None","Level","58","80","Docked","Level","2"
"9","75","red","frc2471","frc4488","frc1318","157","18","32","None","NotLevel","60","90","Docked","Level","4"
"10","80","red","frc5827","frc1318","frc2990","124","18","35","None","NotLevel","47","69","Docked","Level","2"
"11","86","blue","frc1318","frc955","frc2980","180","24","42","Docked","Level","66","88","Park","Level","4"
"12","94","blue","frc7034","frc2557","frc1318","143","18","36","Docked","Level","59","77","Docked","NotLevel","4"
