"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc2079","frc246","frc2423","58","13","16","None","NotLevel","12","32","None","Level","0"
"2","7","red","frc246","frc6620","frc78","82","4","22","None","Level","21","35","Park","Level","0"
"3","15","red","frc4908","frc246","frc1153","93","12","27","None","Level","34","56","Docked","Level","3"
"4","20","blue","frc166","frc5813","frc246","98","12","12","None","Level","47","61","Docked","NotLevel","2"
"5","23","blue","frc6328","frc5112","frc246","89","18","30","None","Level","29","49","Docked","Level","3"
"6","26","blue","frc246","frc1307","frc9286","69","9","15","None","Level","14","44","None","Level","3"
"7","31","red","frc319","frc246","frc8626","74","6","21","None","Level","21","43","Park","Level","3"
"8","36","blue","frc246","frc8626","frc1740","87","12","27","None","Level","36","50","Park","NotLevel","2"
"9","41","red","frc1740","frc2079","frc246","98","15","30","None","Level","40","48","None","NotLevel","2"
"10","46","blue","frc246","frc4048","frc6333","82","15","18","None","Level","24","54","Park","Level","1"
"11","51","blue","frc6329","frc4925","frc246","114","21","32","None","NotLevel","40","62","Docked","Level","4"
"12","58","blue","frc8046","frc246","frc4909","135","18","36","None","Level","40","62","Docked","Level","4"
