"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc3976","frc9315","frc6366","23","6","9","None","Level","12","14","None","Level","0"
"2","6","red","frc8575","frc6366","frc4073","60","9","24","Docked","Level","17","31","Docked","NotLevel","0"
"3","10","red","frc4451","frc6366","frc4189","92","12","33","Docked","Level","27","49","Park","Level","3"
"4","18","red","frc281","frc6366","frc1293","53","15","18","None","Level","24","30","Park","Level","0"
"5","21","blue","frc4533","frc7085","frc6366","35","10","13","None","Level","17","17","None","NotLevel","0"
"6","26","red","frc1102","frc6366","frc1287","98","16","34","None","Level","32","54","Docked","Level","3"
"7","29","blue","frc4823","frc5130","frc6366","55","9","15","None","Level","21","35","Park","Level","0"
"8","35","blue","frc6366","frc1051","frc4073","43","15","18","None","Level","14","20","None","NotLevel","0"
"9","41","red","frc6366","frc1539","frc3489","72","6","14","None","NotLevel","31","43","None","Level","2"
"10","45","blue","frc6366","frc2815","frc281","73","12","27","None","Level","28","36","Docked","NotLevel","2"
"11","49","blue","frc342","frc1319","frc6366","69","12","18","None","NotLevel","34","46","Park","NotLevel","2"
"12","52","blue","frc6366","frc1293","frc3091","64","10","13","None","Level","26","46","Park","Level","2"
