"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc342","frc3976","frc3489","70","9","27","None","Level","30","38","Docked","NotLevel","0"
"2","5","blue","frc1293","frc342","frc4073","49","6","14","Docked","NotLevel","20","30","Docked","Level","0"
"3","10","red","frc342","frc1319","frc6961","69","4","15","None","NotLevel","27","49","Docked","Level","3"
"4","17","blue","frc342","frc281","frc2815","115","12","30","None","Level","48","70","Docked","Level","3"
"5","20","blue","frc4748","frc342","frc6366","75","3","21","None","Level","27","49","None","Level","3"
"6","23","red","frc342","frc1102","frc1758","107","10","24","None","NotLevel","43","73","None","Level","3"
"7","28","red","frc8137","frc1051","frc342","80","9","27","Docked","Level","26","48","Park","Level","3"
"8","36","red","frc3976","frc342","frc4935","56","7","22","Docked","Level","12","34","Docked","Level","1"
"9","39","blue","frc4451","frc9315","frc342","93","16","31","Docked","Level","41","47","Park","NotLevel","2"
"10","42","blue","frc6961","frc342","frc4823","63","6","24","Docked","Level","12","24","Docked","Level","0"
"11","48","blue","frc343","frc342","frc7085","113","9","27","None","Level","49","71","Docked","Level","3"
"12","52","blue","frc3490","frc9315","frc342","99","12","30","None","Level","27","49","Docked","Level","3"
"13","57","red","frc6167","frc1539","frc342","87","11","29","Docked","Level","13","19","Docked","NotLevel","2"
