"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc8841","frc3653","frc1730","116","15","33","None","Level","36","58","Docked","Level","4"
"2","11","blue","frc325","frc5744","frc3653","75","9","23","None","NotLevel","32","42","None","Level","0"
"3","17","red","frc3653","frc4306","frc4013","35","0","3","None","Level","15","27","Docked","Level","0"
"4","22","blue","frc4630","frc3653","frc63","87","9","24","None","Level","28","48","Park","Level","1"
"5","31","blue","frc2641","frc6517","frc3653","87","12","27","None","Level","28","50","Docked","Level","1"
"6","35","red","frc3653","frc4504","frc7516","60","13","22","None","NotLevel","13","33","Docked","Level","0"
"7","42","blue","frc2614","frc2451","frc3653","120","12","23","None","NotLevel","50","72","Docked","Level","4"
"8","49","blue","frc3653","frc2383","frc5492","101","15","33","None","Level","36","58","None","Level","1"
"9","56","red","frc3653","frc9152","frc801","93","9","15","None","Level","14","44","Docked","Level","1"
"10","60","red","frc3824","frc3653","frc3492","109","6","27","None","Level","30","52","Park","Level","1"
