"","team","opr","auto_opr","auto_game_piece_opr","auto_dock","auto_level","teleop_opr","teleop_game_piece_opr","tele_dock","tele_balance","auto_teleop_opr_ratio","rpcr"
"1","frc2905",15.0175923565887,6.52461761181293,0.937045999205115,"0","0",7.48520930498844,2.22659913206312,"0.375","0.25",0.434464956624712,"-0.219236874796547"
"2","frc4191",-2.8365507991518,4.6950368585165,0.483029286696259,"0.125","0",-2.04562732499556,1.07782104345407,"0.25","0.125",-1.6551922355561,"-0.151100326048318"
"3","frc4972",22.1344287304146,7.34769866781788,0.901252089705471,"0.125","0.125",15.2394517827749,4.32089835659023,"0.25","0",0.331957908528333,"0.220052910479314"
"4","frc5665",52.7542410960679,10.8818344458119,0.965025051589935,"0.375","0.25",16.3173024288595,4.86762340463512,"1","0.75",0.206274115970991,"1.46595277847971"
"5","frc5883",29.5817538371195,5.24145561264956,-0.0318169325812991,"0.375","0.375",18.7643706398707,4.49196220550065,"0.375","0.25",0.177185424552906,"1.29448147085921"
"6","frc6064",12.7096039175176,4.77381744394778,0.556049754094226,"0","0",9.96480361970396,2.07092769286058,"0.25","0.25",0.375607097981081,"0.43376774105409"
"7","frc6429",46.0785161080313,14.3906092227903,0.881733099484694,"1","1",21.9973099799404,5.0866243135733,"1","0.75",0.312306264139485,"1.53631043519333"
"8","frc6838",44.4631827852655,13.6181405998347,1.06606476451946,"0.875","0.375",25.9174034380097,6.13225379917804,"0.375","0.25",0.306279032376144,"1.42438532361859"
"9","frc6874",20.9969176863208,4.73213701030651,0.977059416709281,"0","0",8.39524838502444,2.49593094477633,"0.625","0.5",0.225372937161602,"0.534416001171345"
"10","frc6948",21.8249701800722,2.65800672106666,0.46988570532247,"0.125","0",14.0286120292593,3.43870657155251,"0.75","0.625",0.121787415933957,"0.764754252225433"
"11","frc6988",23.3173672422437,3.42895462811254,0.38320105237623,"0","0",8.41061601336331,1.79938001977628,"0","0",0.147055822918994,"0.752975742927332"
"12","frc7086",17.0773200799672,5.81752225350769,1.29531742881059,"0","0",9.19411759266056,5.34609228655235,"0.375","0.125",0.340657797960467,"0.727772432837711"
"13","frc7285",51.9513431166024,14.4097745729368,1.35767342296318,"1","1",27.8957049089563,7.9082904279441,"0.625","0.5",0.277370587716948,"2.06599667401915"
"14","frc7298",12.5190392298084,1.08651352182614,0.0359736422104744,"0","0",11.02560904093,2.04258438247954,"0.25","0.25",0.0867888902559798,"-0.0105655485754459"
"15","frc7458",9.2036224593414,0.716967129524328,-0.381801980044219,"0","0",8.78112595956095,0.566131658614408,"0","0",0.0779005367388389,"0.00900013911439509"
"16","frc7536",52.0865715259597,10.2687430375007,1.06915670349445,"0.125","0",19.3617238186965,4.70862207362583,"0.75","0.625",0.197147609002884,"1.34293593269289"
"17","frc7575",-0.99147331915412,-2.23846935916177,-0.125363933632343,"0","0",1.65028299474481,-0.241503666867507,"0.25","0.25",2.25772021890768,"-0.597328787445393"
"18","frc7576",22.5432768105165,7.36736791954319,0.506881364751704,"0.5","0.375",12.469282571892,2.4475640199684,"0.75","0.75",0.326809983369688,"0.900062448189786"
"19","frc7682",19.1035177442352,5.61764660206852,0.284390485103438,"0.5","0.5",8.40404351836541,2.11169575611938,"0.875","0.75",0.294063463979755,"0.57079065826025"
"20","frc7840",12.8360317795133,1.71319352075983,0.415242650586225,"0","0",13.1414514692714,2.28661195205661,"1","0.75",0.133467534997392,"-0.144166385503526"
"21","frc8042",21.706045720552,0.287155127907084,0.136104261700101,"0","0",15.2164966925878,3.38182216048927,"0","0",0.0132292694673169,"0.373963579515798"
"22","frc8054",32.4945027674809,7.14146760824195,0.830637879064593,"0.375","0.125",10.4596918210238,2.84727106545627,"0.375","0.375",0.219774638785636,"0.698892260180745"
"23","frc8056",12.5721801714607,4.29120479184645,0.420019111663933,"0","0",6.9736688108514,1.08627368628867,"0.25","0.25",0.341325429107963,"0.383867966749613"
"24","frc8058",23.9958366042423,5.75239217759165,0.758759818324226,"0","0",12.8092011764784,2.86254468259555,"0.555555555555556","0.444444444444444",0.239724593581149,"0.329498554989908"
"25","frc8079",24.2482997157346,5.07085838305423,0.111346913410553,"0","0",17.9407271523399,1.93292119352915,"1","0.875",0.209122224753919,"0.980382633453438"
"26","frc8151",5.80107347958972,4.85309214146649,0.135740320567927,"0","0",5.82964411216425,0.256702496275639,"0.75","0.625",0.836585186955729,"0.529941834084262"
"27","frc8153",13.1723357326485,-1.04191429218349,-0.330059714697436,"0","0",4.91942223513117,0.896023358770733,"0","0",-0.0790986741706739,"0.379398163175269"
"28","frc8166",29.9572094449383,8.30304679806926,0.965808182276563,"0","0",8.3301321567992,2.00201092611209,"0.625","0.375",0.277163559353896,"0.0996268950892605"
