"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc4153","frc8325","frc6682","33","0","12","None","Level","10","16","None","NotLevel","0"
"2","8","blue","frc8325","frc5417","frc4364","63","10","21","None","NotLevel","27","37","Docked","NotLevel","2"
"3","14","blue","frc8325","frc8528","frc1164","54","0","6","None","Level","16","38","Park","Level","0"
"4","23","blue","frc5866","frc2657","frc8325","58","3","21","None","Level","17","37","Docked","Level","1"
"5","33","red","frc7271","frc8325","frc3676","30","0","0","None","Level","8","30","Park","Level","0"
"6","38","blue","frc5411","frc4063","frc8325","123","12","27","None","Level","49","71","Docked","Level","2"
"7","42","red","frc6974","frc8325","frc9080","75","9","15","None","Level","11","33","Park","Level","0"
"8","51","red","frc8325","frc7125","frc8408","23","3","6","None","Level","10","12","Docked","Level","0"
"9","55","red","frc7534","frc4734","frc8325","76","4","7","None","NotLevel","20","42","None","Level","0"
"10","65","blue","frc8325","frc3481","frc8512","70","6","21","None","Level","17","39","Docked","Level","1"
"11","69","blue","frc4206","frc8325","frc9136","91","10","25","None","Level","32","36","Park","NotLevel","1"
"12","73","red","frc148","frc5613","frc8325","103","11","29","None","Level","29","49","Docked","Level","4"
