"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc9311","frc2583","frc5726","29","0","0","None","Level","19","29","Park","NotLevel","1"
"2","9","red","frc5726","frc418","frc8827","50","3","15","None","Level","6","20","Park","Level","2"
"3","15","red","frc9034","frc3679","frc5726","69","6","18","None","Level","24","46","Park","Level","3"
"4","26","blue","frc5726","frc5503","frc2789","47","3","9","None","Level","11","33","Park","Level","2"
"5","31","red","frc457","frc5726","frc9121","17","0","0","None","Level","6","12","Park","NotLevel","0"
"6","35","blue","frc5414","frc4597","frc5726","91","6","21","None","Level","23","45","Park","Level","3"
"7","39","blue","frc8610","frc5726","frc4332","26","0","0","None","Level","22","26","Park","Level","0"
"8","46","red","frc6901","frc5726","frc8507","64","0","15","None","Level","10","32","Park","Level","3"
"9","51","red","frc3029","frc5726","frc8114","45","9","9","None","Level","19","31","Park","Level","0"
"10","58","blue","frc5726","frc4364","frc8088","54","10","10","None","Level","25","39","Park","Level","0"
"11","64","red","frc8598","frc6357","frc5726","46","4","7","None","Level","12","34","Park","Level","0"
"12","71","blue","frc5726","frc5892","frc3802","96","10","25","None","Level","24","46","Park","Level","3"
