"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc5052","frc8750","frc8591","22","3","3","None","NotLevel","7","19","None","Level","0"
"2","12","blue","frc8370","frc8750","frc8576","44","9","12","None","Level","19","27","Park","NotLevel","0"
"3","16","red","frc9181","frc8573","frc8750","28","4","4","None","Level","17","19","Park","NotLevel","0"
"4","22","blue","frc8750","frc231","frc6488","67","6","14","None","NotLevel","21","43","None","Level","3"
"5","26","red","frc8750","frc3834","frc5923","36","6","12","None","Level","17","19","Docked","NotLevel","0"
"6","36","red","frc4639","frc9307","frc8750","41","3","6","None","Level","23","35","Park","Level","0"
"7","40","blue","frc8750","frc6645","frc4328","35","0","3","None","Level","26","32","Park","Level","0"
"8","44","red","frc8750","frc8515","frc7115","57","6","12","None","Level","26","40","Park","Level","2"
"9","51","blue","frc8177","frc2587","frc8750","10","0","0","None","Level","2","10","None","NotLevel","0"
"10","56","red","frc4295","frc8750","frc5427","92","12","26","None","NotLevel","29","51","Park","Level","3"
"11","61","blue","frc9081","frc8750","frc7492","28","0","0","None","NotLevel","5","13","Park","NotLevel","0"
"12","69","blue","frc3035","frc324","frc8750","93","8","22","None","NotLevel","29","51","None","Level","4"
