"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc5070","frc2966","frc8598","55","6","9","None","Level","21","41","None","Level","0"
"2","11","blue","frc4639","frc9137","frc2966","65","12","24","None","Level","9","19","Docked","Level","2"
"3","15","red","frc3735","frc2966","frc9181","59","9","12","None","NotLevel","15","37","Docked","Level","0"
"4","18","blue","frc8392","frc2966","frc8144","50","6","15","None","Level","10","30","Docked","Level","0"
"5","26","red","frc5682","frc5908","frc2966","45","6","24","None","Level","16","16","None","NotLevel","0"
"6","29","red","frc2966","frc7616","frc5923","93","10","28","None","Level","42","50","Docked","NotLevel","0"
"7","36","blue","frc9051","frc2966","frc324","108","10","28","None","Level","38","60","Docked","Level","3"
"8","41","blue","frc4587","frc7115","frc2966","72","12","30","None","Level","15","37","Docked","Level","1"
"9","50","red","frc2966","frc2882","frc7312","54","6","17","None","NotLevel","10","32","None","Level","1"
"10","57","blue","frc2966","frc5427","frc7691","105","12","30","None","Level","38","60","Docked","Level","3"
"11","60","red","frc2966","frc231","frc8625","100","10","31","None","Level","25","47","Docked","Level","3"
"12","63","red","frc9081","frc8879","frc2966","86","9","30","None","Level","24","36","Docked","NotLevel","0"
