"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","blue","frc8573","frc6357","frc4153","96","14","20","None","Level","39","51","None","Level","0"
"2","13","blue","frc5261","frc2687","frc6357","140","12","33","Docked","Level","52","82","Docked","Level","4"
"3","18","blue","frc8874","frc5682","frc6357","100","10","28","Docked","Level","32","62","Docked","Level","1"
"4","23","blue","frc6357","frc8576","frc148","143","16","37","Docked","Level","59","81","Park","Level","4"
"5","34","red","frc6357","frc8088","frc2881","159","22","40","None","Level","62","84","Docked","Level","4"
"6","38","blue","frc6357","frc6901","frc5417","120","16","34","None","Level","44","66","Park","Level","4"
"7","42","blue","frc9088","frc4610","frc6357","117","16","37","Docked","Level","36","50","Docked","NotLevel","0"
"8","51","blue","frc5572","frc6357","frc5829","125","16","22","None","Level","47","61","Docked","NotLevel","3"
"9","60","red","frc6357","frc5411","frc118","171","18","36","Docked","Level","70","100","None","Level","4"
"10","65","red","frc231","frc6357","frc2587","109","10","31","None","Level","40","48","Docked","NotLevel","2"
"11","70","red","frc5503","frc9105","frc6357","137","12","33","Docked","Level","44","74","Docked","Level","4"
"12","75","red","frc8749","frc6357","frc3005","163","18","39","Docked","Level","67","89","Park","Level","4"
