"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","blue","frc2468","frc6901","frc5682","75","3","17","None","NotLevel","28","48","Docked","Level","3"
"2","10","blue","frc6901","frc8874","frc4641","45","6","9","None","NotLevel","19","31","Park","NotLevel","2"
"3","14","blue","frc2689","frc6901","frc2582","66","12","15","None","NotLevel","24","46","None","Level","2"
"4","20","red","frc8749","frc2687","frc6901","89","3","21","None","Level","28","48","Docked","Level","1"
"5","25","red","frc5572","frc3802","frc6901","71","10","24","None","NotLevel","20","42","None","Level","3"
"6","28","blue","frc7503","frc5431","frc6901","77","3","17","None","NotLevel","25","45","None","Level","3"
"7","32","blue","frc6901","frc7506","frc9088","38","0","15","Docked","Level","9","23","Docked","Level","0"
"8","38","blue","frc1745","frc6901","frc3802","96","9","27","None","Level","34","54","None","Level","3"
"9","44","blue","frc7321","frc9088","frc6901","46","3","17","Docked","NotLevel","7","29","Docked","Level","1"
"10","52","red","frc6901","frc2582","frc3005","119","10","25","None","Level","54","74","Park","Level","3"
"11","57","red","frc6901","frc6768","frc5417","33","6","17","Docked","NotLevel","4","16","None","Level","0"
"12","62","red","frc6526","frc6901","frc3282","31","6","20","Docked","NotLevel","2","6","Docked","NotLevel","0"
