"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","red","frc7506","frc6974","frc9299","34","0","3","None","Level","22","26","None","Level","0"
"2","9","blue","frc9299","frc6526","frc5431","32","6","6","None","Level","15","21","None","NotLevel","0"
"3","17","blue","frc6672","frc148","frc9299","144","93","107","None","NotLevel","0","12","None","NotLevel","3"
"4","22","red","frc2714","frc9299","frc9088","104","6","21","None","Level","43","63","None","Level","3"
"5","28","blue","frc9299","frc8816","frc6369","36","4","4","None","Level","12","22","Docked","NotLevel","0"
"6","33","red","frc9128","frc9299","frc4641","19","6","6","None","Level","5","13","Park","NotLevel","0"
"7","37","blue","frc7271","frc9156","frc9299","32","6","12","None","NotLevel","0","20","Park","Level","0"
"8","45","blue","frc9299","frc3310","frc7540","129","9","24","None","Level","38","46","None","NotLevel","2"
"9","51","blue","frc4206","frc4153","frc9299","65","6","21","None","Level","24","34","None","NotLevel","0"
"10","54","red","frc9105","frc9299","frc4251","50","6","9","None","NotLevel","14","36","None","Level","0"
"11","58","red","frc9299","frc7119","frc8858","56","10","16","None","Level","23","35","None","Level","0"
"12","64","red","frc5613","frc9299","frc9080","60","0","0","None","Level","18","30","None","Level","0"
