"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","blue","frc2583","frc6645","frc8177","118","12","27","None","Level","46","76","Docked","Level","3"
"2","10","blue","frc2583","frc8019","frc1477","109","12","30","None","Level","32","54","Docked","Level","3"
"3","15","blue","frc5261","frc2583","frc7691","89","6","20","Docked","NotLevel","24","54","Docked","Level","3"
"4","20","blue","frc2587","frc2583","frc5070","64","12","15","None","Level","17","39","Docked","Level","0"
"5","25","red","frc9121","frc8827","frc2583","84","6","21","Docked","Level","18","48","Docked","Level","3"
"6","31","red","frc2583","frc5908","frc118","120","12","30","None","Level","45","65","Park","Level","2"
"7","34","blue","frc8392","frc8370","frc2583","77","3","18","None","Level","31","39","None","NotLevel","2"
"8","41","red","frc8144","frc8515","frc2583","64","9","24","Docked","Level","18","40","Docked","Level","1"
"9","50","red","frc5986","frc2583","frc4597","61","6","17","Docked","NotLevel","12","34","Docked","Level","3"
"10","55","blue","frc8370","frc2583","frc7312","46","6","24","None","Level","2","22","Docked","Level","1"
"11","61","red","frc2583","frc5894","frc8819","62","3","21","Docked","Level","29","31","Docked","Level","0"
"12","64","red","frc2158","frc4332","frc2583","115","12","30","None","Level","48","70","Docked","Level","3"
