"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","5","red","frc6377","frc3679","frc5572","113","21","39","None","Level","42","64","Docked","Level","3"
"2","11","red","frc3481","frc2468","frc6377","101","9","23","Docked","NotLevel","38","58","Docked","Level","4"
"3","18","red","frc2969","frc9140","frc6377","99","3","9","None","Level","48","70","Docked","Level","1"
"4","23","red","frc6377","frc9051","frc6180","90","6","24","Docked","Level","31","61","Docked","Level","1"
"5","30","red","frc8818","frc4219","frc6377","105","6","24","Docked","Level","44","66","Docked","Level","3"
"6","40","blue","frc2950","frc6377","frc8879","80","7","22","Docked","Level","36","48","Docked","NotLevel","2"
"7","49","blue","frc3561","frc6377","frc5726","86","9","24","Docked","Level","30","42","Park","Level","3"
"8","55","blue","frc6377","frc8573","frc2689","124","13","28","Docked","Level","49","71","Park","Level","4"
"9","60","blue","frc4063","frc6377","frc2687","141","19","37","Docked","Level","57","79","Docked","Level","4"
"10","66","blue","frc8019","frc8819","frc6377","111","6","24","Docked","Level","45","67","Docked","Level","4"
"11","73","blue","frc6377","frc1296","frc3545","115","13","31","None","Level","39","59","Docked","Level","3"
"12","86","blue","frc8750","frc6377","frc7621","97","15","36","Docked","Level","31","41","Docked","NotLevel","3"
