"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","7","red","frc2158","frc2950","frc9128","83","6","6","None","Level","42","62","Park","Level","2"
"2","12","red","frc2158","frc4717","frc7540","68","33","36","None","Level","0","22","None","Level","0"
"3","19","blue","frc2158","frc2714","frc6180","73","12","27","None","Level","19","41","Docked","Level","3"
"4","23","red","frc7091","frc2158","frc2789","18","0","0","None","NotLevel","4","18","Docked","Level","0"
"5","30","blue","frc3035","frc3029","frc2158","72","0","15","Docked","Level","32","52","Docked","Level","3"
"6","37","blue","frc6672","frc4328","frc2158","77","9","24","None","Level","37","43","Docked","NotLevel","2"
"7","45","blue","frc5866","frc2158","frc7125","47","6","9","None","Level","18","38","Docked","Level","0"
"8","49","blue","frc7088","frc2158","frc5052","41","3","6","None","Level","25","35","Docked","Level","0"
"9","56","red","frc2158","frc9289","frc4295","47","0","12","Docked","Level","22","30","Park","NotLevel","0"
"10","62","red","frc8769","frc3545","frc2158","81","12","23","Docked","NotLevel","29","43","None","Level","2"
"11","72","red","frc2848","frc8556","frc2158","83","9","15","None","Level","36","58","Docked","Level","2"
"12","78","blue","frc4734","frc2158","frc8088","94","12","30","Docked","Level","34","54","Docked","Level","1"
