"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","6","blue","frc2122","frc2240","frc701","85","12","23","None","NotLevel","32","52","None","Level","3"
"2","13","blue","frc5071","frc701","frc2996","44","3","21","None","Level","15","23","Park","NotLevel","2"
"3","21","blue","frc701","frc4068","frc7895","74","0","14","None","NotLevel","23","33","Docked","NotLevel","2"
"4","28","blue","frc701","frc4598","frc2972","58","12","15","None","Level","18","38","Docked","Level","2"
"5","33","red","frc701","frc4593","frc4585","57","0","15","None","Level","20","42","None","Level","3"
"6","38","blue","frc7906","frc701","frc8885","19","0","0","None","Level","7","19","Park","NotLevel","0"
"7","45","red","frc1828","frc3243","frc701","39","0","3","None","Level","14","36","Docked","Level","0"
"8","54","red","frc701","frc8","frc9037","81","6","18","None","Level","31","53","None","Level","3"
"9","61","red","frc8087","frc701","frc4550","70","0","21","None","Level","14","34","None","Level","3"
"10","67","blue","frc3374","frc4348","frc701","48","0","15","None","Level","22","28","Park","Level","0"
"11","74","red","frc6358","frc701","frc1569","44","6","6","None","NotLevel","8","38","Docked","Level","1"
"12","81","red","frc3200","frc3245","frc701","38","4","15","None","NotLevel","8","18","Docked","Level","0"
