"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc5587","frc3748","frc6882","13","0","3","None","Level","2","10","Docked","NotLevel","0"
"2","7","blue","frc8726","frc8230","frc6882","64","12","30","None","Level","17","19","None","Level","2"
"3","16","blue","frc3793","frc6882","frc8197","18","6","6","None","Level","3","7","Park","NotLevel","0"
"4","23","red","frc6882","frc3361","frc116","51","9","24","None","Level","14","22","None","NotLevel","0"
"5","28","blue","frc2849","frc686","frc6882","19","9","12","None","Level","7","7","Park","NotLevel","0"
"6","40","blue","frc6882","frc5243","frc2988","61","3","9","None","Level","12","32","None","Level","0"
"7","44","red","frc6504","frc5115","frc6882","67","0","15","None","Level","20","42","Docked","Level","3"
"8","48","blue","frc6882","frc612","frc9072","52","3","9","None","Level","16","38","Docked","Level","0"
"9","54","red","frc8592","frc6882","frc1727","129","15","32","None","NotLevel","52","72","Docked","Level","4"
"10","67","red","frc6882","frc4472","frc4638","135","6","24","None","Level","25","47","None","Level","3"
"11","71","blue","frc339","frc6882","frc4541","54","6","9","None","Level","18","40","Park","Level","2"
"12","80","red","frc3373","frc6882","frc9235","64","12","18","None","NotLevel","16","46","None","Level","1"
