"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc1629","frc540","frc1086","33","6","9","None","NotLevel","14","24","None","Level","0"
"2","7","blue","frc6504","frc3359","frc1086","39","0","3","None","Level","11","31","Docked","Level","0"
"3","16","blue","frc4505","frc1086","frc1915","47","6","12","None","Level","5","25","Docked","Level","0"
"4","23","red","frc1086","frc346","frc122","56","6","9","None","NotLevel","12","32","Docked","Level","2"
"5","28","blue","frc3939","frc3361","frc1086","55","10","13","None","Level","20","42","Docked","Level","0"
"6","33","red","frc1262","frc1086","frc404","38","3","9","None","Level","14","24","Park","Level","0"
"7","40","blue","frc1885","frc1086","frc6802","65","9","27","None","Level","14","28","None","Level","0"
"8","43","red","frc1731","frc6194","frc1086","84","6","24","None","Level","30","50","Docked","Level","3"
"9","50","blue","frc1086","frc9235","frc2363","88","12","27","None","Level","29","51","None","Level","1"
"10","55","red","frc9033","frc1086","frc8592","58","12","18","None","Level","8","30","Docked","Level","0"
"11","61","red","frc1086","frc3373","frc2028","75","7","28","None","Level","15","37","Docked","Level","3"
"12","68","blue","frc1086","frc8230","frc401","87","10","25","None","Level","30","42","Docked","Level","0"
