"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","4","blue","frc3136","frc6802","frc977","98","16","34","None","Level","37","59","None","Level"
"2","10","red","frc3136","frc4505","frc1885","31","12","12","None","NotLevel","7","9","Docked","Level"
"3","15","red","frc122","frc6504","frc3136","48","9","9","None","NotLevel","28","34","Docked","NotLevel"
"4","22","blue","frc540","frc1262","frc3136","77","0","11","Docked","NotLevel","26","56","Park","Level"
"5","26","blue","frc1731","frc3136","frc8592","104","6","24","None","Level","45","65","Docked","Level"
"6","34","blue","frc9235","frc3136","frc623","79","6","24","None","Level","23","45","Docked","Level"
"7","38","red","frc401","frc3373","frc3136","101","15","32","None","NotLevel","41","47","Docked","NotLevel"
"8","41","red","frc2363","frc3136","frc2106","145","18","36","None","Level","57","79","Docked","Level"
"9","47","red","frc619","frc4456","frc3136","106","9","24","Docked","Level","30","50","None","Level"
"10","54","red","frc3136","frc6194","frc3361","76","16","31","Docked","Level","20","40","Docked","Level"
"11","59","blue","frc5724","frc3136","frc9003","74","15","30","Docked","Level","19","39","Docked","Level"
"12","64","red","frc3136","frc2028","frc3359","62","6","9","None","NotLevel","31","43","Park","NotLevel"
