"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc2106","frc346","frc540","98","15","26","Docked","NotLevel","32","52","Docked","Level","3"
"2","11","blue","frc384","frc977","frc2106","113","18","39","None","Level","37","59","None","Level","3"
"3","19","red","frc449","frc2998","frc2106","106","15","30","None","Level","41","61","Docked","Level","3"
"4","24","blue","frc339","frc2106","frc1599","111","6","27","None","Level","34","64","Docked","Level","2"
"5","28","blue","frc3939","frc2106","frc2890","108","15","29","Docked","NotLevel","37","59","Docked","Level","4"
"6","35","blue","frc2106","frc9003","frc1610","152","12","26","Docked","NotLevel","35","57","Park","Level","3"
"7","41","red","frc404","frc1793","frc2106","115","9","27","Docked","Level","46","68","Docked","Level","4"
"8","52","blue","frc5804","frc2068","frc2106","135","16","34","None","Level","49","71","Docked","Level","4"
"9","57","red","frc422","frc2106","frc1522","108","15","30","None","Level","36","58","Docked","Level","3"
"10","63","blue","frc2106","frc5243","frc1123","113","15","33","Docked","Level","43","65","None","Level","3"
"11","67","blue","frc2106","frc617","frc619","103","12","27","Docked","Level","24","54","Docked","Level","3"
"12","74","red","frc401","frc2106","frc2988","91","12","23","Docked","NotLevel","29","43","Docked","Level","2"
