"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc2068","frc2363","frc3136","99","22","37","Docked","Level","30","42","Docked","Level","2"
"2","7","red","frc2363","frc1522","frc2028","108","12","18","None","Level","40","70","Docked","Level","1"
"3","13","blue","frc384","frc2363","frc3359","109","6","20","Docked","NotLevel","55","69","Docked","NotLevel","3"
"4","17","red","frc5804","frc2998","frc2363","116","9","27","Docked","Level","57","69","Docked","NotLevel","3"
"5","23","blue","frc2363","frc4286","frc1793","87","6","9","None","Level","41","63","Docked","Level","2"
"6","28","blue","frc2363","frc2068","frc4464","79","12","27","Docked","Level","30","42","Docked","Level","2"
"7","33","blue","frc2363","frc9214","frc617","125","15","33","Docked","Level","45","67","Park","Level","4"
"8","38","red","frc6194","frc2363","frc539","105","12","15","None","Level","43","65","Park","Level","2"
"9","42","red","frc7429","frc2363","frc1599","129","18","32","None","NotLevel","42","72","Docked","Level","4"
"10","48","red","frc8622","frc6189","frc2363","127","18","36","Docked","Level","46","66","Docked","Level","4"
"11","53","blue","frc8326","frc4505","frc2363","93","14","17","None","Level","47","61","Docked","NotLevel","2"
"12","56","red","frc5954","frc2912","frc2363","74","9","15","None","Level","40","44","Docked","NotLevel","0"
