"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","blue","frc2907","frc3663","frc2929","92","9","24","None","Level","33","43","Docked","Level","2"
"2","9","blue","frc2929","frc2907","frc2557","55","3","18","Docked","Level","12","32","Docked","Level","3"
"3","12","red","frc3219","frc5295","frc2907","84","13","28","Docked","Level","26","46","Docked","Level","1"
"4","21","blue","frc4131","frc2907","frc8896","77","10","16","None","NotLevel","26","46","Docked","Level","0"
"5","25","red","frc2980","frc2907","frc8032","60","7","22","Docked","Level","13","33","Docked","Level","1"
"6","30","red","frc8032","frc8051","frc2907","64","9","27","Docked","Level","22","32","Docked","Level","0"
"7","36","red","frc3268","frc2907","frc3786","60","6","17","Docked","NotLevel","6","28","Docked","Level","3"
"8","41","blue","frc4469","frc1318","frc2907","142","21","42","None","Level","43","65","Docked","Level","4"
"9","47","blue","frc2907","frc4579","frc4918","84","7","25","Docked","Level","17","39","Docked","Level","1"
"10","51","red","frc2907","frc5827","frc8303","56","9","24","Docked","Level","12","22","Docked","NotLevel","0"
"11","56","blue","frc4180","frc2046","frc2907","119","9","24","Docked","Level","48","70","Docked","Level","4"
"12","60","red","frc2907","frc8386","frc3393","51","6","18","Docked","Level","8","28","Docked","Level","1"
