"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","4","red","frc2046","frc4579","frc568","102","6","24","None","Level","41","63","Docked","Level","1"
"2","10","red","frc5588","frc6350","frc568","55","0","11","None","NotLevel","20","34","Park","Level","0"
"3","13","red","frc2929","frc948","frc568","28","0","3","None","Level","10","20","Park","NotLevel","0"
"4","18","blue","frc3218","frc568","frc4918","86","6","9","None","Level","42","62","Docked","Level","2"
"5","21","blue","frc8302","frc4469","frc568","37","4","10","None","Level","20","22","None","NotLevel","0"
"6","30","blue","frc568","frc8896","frc2907","43","3","15","None","Level","8","28","Docked","Level","1"
"7","33","red","frc568","frc5683","frc3219","48","0","3","None","Level","20","40","Park","Level","2"
"8","39","red","frc3049","frc568","frc3588","79","6","9","None","Level","23","45","Docked","Level","2"
"9","44","red","frc4681","frc568","frc3393","39","0","6","None","Level","11","33","Docked","Level","0"
"10","48","blue","frc568","frc2522","frc2557","85","3","24","None","Level","34","56","Park","Level","3"
"11","54","blue","frc8386","frc568","frc3786","52","0","6","None","Level","24","46","Park","Level","0"
"12","58","blue","frc568","frc3663","frc5937","82","3","11","None","NotLevel","26","46","Docked","Level","1"
