"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","3","red","frc4180","frc3681","frc2903","35","6","9","None","Level","14","26","Park","Level","0"
"2","11","red","frc9023","frc3681","frc9036","60","15","18","None","NotLevel","12","32","None","Level","2"
"3","14","blue","frc7461","frc2412","frc3681","124","12","27","None","Level","50","72","Park","Level","4"
"4","17","red","frc3681","frc5827","frc5941","51","4","7","None","Level","14","44","Docked","Level","1"
"5","23","red","frc3681","frc4911","frc4682","61","15","21","None","NotLevel","13","35","Docked","Level","2"
"6","28","red","frc949","frc8248","frc3681","62","13","28","None","Level","15","29","Docked","Level","2"
"7","35","red","frc3070","frc1294","frc3681","86","12","18","None","NotLevel","23","53","Park","Level","1"
"8","38","blue","frc492","frc1899","frc3681","120","18","36","None","Level","42","64","Docked","Level","4"
"9","47","red","frc3681","frc4450","frc5937","123","18","33","None","Level","40","70","Park","Level","1"
"10","52","blue","frc1983","frc3681","frc2910","132","24","42","None","Level","43","65","None","Level","4"
"11","56","blue","frc3681","frc3876","frc4512","56","6","9","None","Level","23","37","Park","NotLevel","0"
"12","62","blue","frc948","frc3681","frc8032","102","12","18","None","Level","42","64","Docked","Level","1"
