"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","2","red","frc5588","frc1899","frc2412","79","0","15","None","Level","40","54","Docked","NotLevel","2"
"2","11","red","frc4512","frc2903","frc5588","40","0","3","None","NotLevel","15","37","None","Level","0"
"3","17","red","frc1778","frc2097","frc5588","16","3","6","None","NotLevel","0","10","Docked","Level","0"
"4","22","blue","frc3826","frc5588","frc4089","59","3","6","None","Level","21","43","Docked","Level","0"
"5","26","blue","frc5588","frc4681","frc2147","53","3","24","None","Level","12","24","Docked","Level","2"
"6","32","blue","frc1318","frc5588","frc6350","90","6","21","None","Level","37","59","Docked","Level","3"
"7","37","red","frc5588","frc8248","frc3681","41","0","3","None","NotLevel","18","38","Docked","Level","0"
"8","43","blue","frc2980","frc5588","frc4173","45","3","18","Docked","Level","5","27","Docked","Level","1"
"9","47","red","frc5941","frc5588","frc9036","51","3","9","None","NotLevel","20","42","Docked","Level","0"
"10","53","blue","frc2928","frc2930","frc5588","107","6","27","None","Level","45","65","None","Level","3"
"11","63","red","frc5588","frc4915","frc4131","94","9","15","None","NotLevel","39","69","Docked","Level","3"
"12","66","blue","frc4980","frc488","frc5588","56","0","3","None","Level","21","33","Docked","NotLevel","0"
