"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc4060","frc1318","frc4061","90","13","31","None","Level","24","44","Docked","Level","1"
"2","5","blue","frc3711","frc2811","frc4060","110","15","33","None","Level","40","62","Docked","Level","3"
"3","13","red","frc4125","frc4060","frc1595","61","9","27","Docked","Level","10","24","Docked","Level","2"
"4","16","blue","frc4060","frc7461","frc8532","129","21","42","Docked","Level","50","72","Docked","Level","3"
"5","20","red","frc5920","frc6076","frc4060","46","9","12","None","Level","12","34","Docked","Level","0"
"6","23","blue","frc4104","frc492","frc4060","64","6","21","Docked","Level","21","43","Docked","Level","3"
"7","30","blue","frc4060","frc4131","frc1318","106","15","33","None","Level","38","58","Docked","Level","1"
"8","34","red","frc4060","frc4125","frc4513","93","12","33","Docked","Level","28","40","Docked","Level","2"
"9","40","blue","frc955","frc6443","frc4060","97","9","27","None","Level","33","55","Docked","Level","1"
"10","45","blue","frc2811","frc4060","frc3712","90","12","33","None","Level","24","32","Docked","NotLevel","1"
"11","48","red","frc2147","frc4060","frc3826","96","9","30","None","Level","29","51","Docked","Level","1"
"12","53","red","frc4061","frc4060","frc3876","69","4","22","Docked","Level","12","42","Docked","Level","1"
