"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","8","red","frc111","frc7578","frc1736","153","21","39","None","Level","59","79","None","Level","4"
"2","14","blue","frc5442","frc2169","frc1736","122","15","33","None","Level","47","69","Park","Level","4"
"3","22","red","frc171","frc1736","frc112","135","16","34","None","Level","54","76","Park","Level","2"
"4","35","blue","frc5019","frc2338","frc1736","138","18","39","Docked","Level","54","74","Docked","Level","4"
"5","42","red","frc1736","frc2704","frc6166","128","15","30","None","Level","49","71","Docked","Level","3"
"6","48","blue","frc1736","frc8700","frc6381","109","9","12","None","Level","52","72","None","Level","3"
"7","55","blue","frc1736","frc7619","frc4531","135","15","36","Docked","Level","37","59","None","Level","3"
"8","66","blue","frc1736","frc5586","frc5576","115","9","30","Docked","Level","40","60","Park","Level","4"
"9","78","blue","frc8782","frc1736","frc8024","86","6","15","None","Level","41","61","Park","Level","2"
"10","88","red","frc2977","frc1736","frc2062","104","15","36","None","Level","42","48","Docked","NotLevel","1"
