"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance","rp"
"1","1","red","frc1259","frc2830","frc1792","93","12","30","Docked","Level","26","48","Docked","Level","1"
"2","16","blue","frc2194","frc8096","frc2830","86","16","37","Docked","Level","17","39","Park","Level","3"
"3","21","red","frc4786","frc3596","frc2830","117","18","36","Docked","Level","43","61","Docked","NotLevel","3"
"4","27","blue","frc2506","frc2830","frc1091","85","15","33","Docked","Level","30","42","Docked","Level","0"
"5","37","blue","frc2830","frc8029","frc537","107","15","18","None","NotLevel","39","69","Docked","Level","4"
"6","44","red","frc2830","frc8803","frc1306","89","10","16","None","NotLevel","31","53","Park","Level","0"
"7","49","red","frc2202","frc5096","frc2830","116","9","30","None","Level","36","66","Docked","Level","2"
"8","62","blue","frc8188","frc2830","frc93","99","15","24","None","NotLevel","38","60","Docked","Level","2"
"9","69","blue","frc2830","frc8802","frc5148","106","14","17","None","Level","39","69","Docked","Level","3"
"10","76","red","frc2358","frc2830","frc4787","80","15","18","None","NotLevel","10","40","Park","Level","3"
"11","86","red","frc2830","frc7915","frc8701","89","18","21","None","NotLevel","43","53","Docked","NotLevel","0"
"12","91","red","frc6421","frc930","frc2830","132","12","33","None","Level","52","74","Docked","Level","4"
