"","match_number","alliance","team1","team2","team3","scores","auto_gpp","auto_p","auto_dock","auto_balance","tele_gpp","tele_p","tele_dock","tele_balance"
"1","2","blue","frc9003","frc1262","frc401","77","12","30","Docked","Level","22","32","Park","NotLevel"
"2","8","blue","frc1629","frc401","frc1731","99","9","17","None","NotLevel","45","67","Docked","Level"
"3","14","red","frc401","frc9235","frc5724","110","12","30","Docked","Level","40","60","Docked","Level"
"4","18","red","frc401","frc422","frc6802","122","24","45","None","Level","37","57","None","Level"
"5","24","red","frc404","frc401","frc2363","130","12","30","None","Level","55","75","Park","Level"
"6","29","blue","frc3359","frc619","frc401","50","6","24","Docked","Level","20","26","Park","NotLevel"
"7","38","red","frc401","frc3373","frc3136","101","15","32","Docked","NotLevel","41","47","Docked","NotLevel"
"8","44","blue","frc1885","frc401","frc3939","88","12","30","Docked","Level","35","43","Docked","NotLevel"
"9","48","red","frc2106","frc2028","frc401","92","13","31","None","Level","38","46","Park","NotLevel"
"10","54","blue","frc401","frc346","frc4456","109","12","30","Docked","Level","32","54","Docked","Level"
"11","62","red","frc122","frc401","frc623","121","9","30","None","Level","49","61","Docked","NotLevel"
"12","68","blue","frc1086","frc8230","frc401","87","10","25","None","Level","30","42","None","Level"
